account_no,kwh,avg_temp,dayofweek,quarter,month,year,dayofyear,day,weekofyear,is_weekend,dayofyear_sin,dayofyear_cos,weekofyear_sin,weekofyear_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_mean_30,temp_lag_1,temp_lag_2,temp_lag_3,temp_roll_mean_3,temp_roll_mean_7,temp_kwh_interaction,date
2424162000,21.7891,28.6,6,4,10,2023,281,8,40,1,-0.992222209,0.124479264,-0.992708874,0.12053668,4.015,0.0796,0,0,0,0,0,3.697671429,3.2354625,27.9,28.8,27.45,28.43333333,27.94285714,623.16826,08-10-2023
2424162000,17.5403,29.4,0,4,10,2023,282,9,41,0,-0.989932495,0.141540295,-0.970941817,0.239315664,21.7891,4.015,0.0796,0,0,0,0,6.203428571,4.824888889,28.6,27.9,28.8,28.63333333,28.15714286,515.68482,09-10-2023
2424162000,11.9805,29.65,1,4,10,2023,283,10,41,0,-0.987349442,0.158559385,-0.970941817,0.239315664,17.5403,21.7891,4.015,0.0796,0,0,0,7.914928571,5.54045,29.4,28.6,27.9,29.21666667,28.49285714,355.221825,10-10-2023
2424162000,17.5693,28.2,2,4,10,2023,284,11,41,0,-0.984473817,0.17553149,-0.970941817,0.239315664,11.9805,17.5403,21.7891,4.015,0.0796,0,0,10.42482857,6.633981818,29.65,29.4,28.6,29.08333333,28.57142857,495.45426,11-10-2023
2424162000,9.4829,28.55,3,4,10,2023,285,12,41,0,-0.98130647,0.192451582,-0.970941817,0.239315664,17.5693,11.9805,17.5403,21.7891,4.015,0.0796,0,11.77952857,6.871391667,28.2,29.65,29.4,28.8,28.72857143,270.736795,12-10-2023
2424162000,15.023,28.6,4,4,10,2023,286,13,41,0,-0.977848342,0.209314646,-0.970941817,0.239315664,9.4829,17.5693,11.9805,17.5403,21.7891,4.015,0.0796,13.9143,7.498438462,28.55,28.2,29.65,28.45,28.7,429.6578,13-10-2023
2424162000,6.9233,28.1,5,4,10,2023,287,14,41,1,-0.974100455,0.226115686,-0.970941817,0.239315664,15.023,9.4829,17.5693,11.9805,17.5403,21.7891,4.015,14.32977143,7.457357143,28.6,28.55,28.2,28.41666667,28.72857143,194.54473,14-10-2023
2424162000,2.132,28.65,6,4,10,2023,288,15,41,1,-0.970063922,0.242849722,-0.970941817,0.239315664,6.9233,15.023,9.4829,17.5693,11.9805,17.5403,21.7891,11.52161429,7.102333333,28.1,28.6,28.55,28.45,28.73571429,61.0818,15-10-2023
2424162000,70.4772,27.25,0,4,10,2023,289,16,42,0,-0.965739938,0.259511797,-0.935016243,0.354604887,2.132,6.9233,15.023,9.4829,17.5693,11.9805,17.5403,19.08402857,11.0632625,28.65,28.1,28.6,28,28.42857143,1920.5037,16-10-2023
2424162000,49.0628,25.65,1,4,10,2023,290,17,42,0,-0.961129784,0.276096973,-0.935016243,0.354604887,70.4772,2.132,6.9233,15.023,9.4829,17.5693,11.9805,24.3815,13.29852941,27.25,28.65,28.1,27.18333333,27.85714286,1258.46082,17-10-2023
2424162000,14.8538,24.95,2,4,10,2023,291,18,42,0,-0.956234827,0.292600336,-0.935016243,0.354604887,49.0628,70.4772,2.132,6.9233,15.023,9.4829,17.5693,23.99357143,13.38493333,25.65,27.25,28.65,25.95,27.39285714,370.60231,18-10-2023
2424162000,33.6947,25.15,3,4,10,2023,292,19,42,0,-0.951056516,0.309016994,-0.935016243,0.354604887,14.8538,49.0628,70.4772,2.132,6.9233,15.023,9.4829,27.4524,14.45386842,24.95,25.65,27.25,25.25,26.90714286,847.421705,19-10-2023
2424162000,18.6763,24.55,4,4,10,2023,293,20,42,0,-0.945596387,0.325342085,-0.935016243,0.354604887,33.6947,14.8538,49.0628,70.4772,2.132,6.9233,15.023,27.9743,14.66499,25.15,24.95,25.65,24.88333333,26.32857143,458.503165,20-10-2023
2424162000,14.2811,24.85,5,4,10,2023,294,21,42,1,-0.939856058,0.341570769,-0.935016243,0.354604887,18.6763,33.6947,14.8538,49.0628,70.4772,2.132,6.9233,29.02541429,14.64670952,24.55,25.15,24.95,24.85,25.86428571,354.885335,21-10-2023
2424162000,0,23.45,6,4,10,2023,295,22,42,1,-0.933837229,0.357698239,-0.935016243,0.354604887,14.2811,18.6763,33.6947,14.8538,49.0628,70.4772,2.132,28.72084286,13.98095,24.85,24.55,25.15,24.28333333,25.12142857,0,22-10-2023
2424162000,0,24.4,0,4,10,2023,296,23,43,0,-0.927541684,0.373719715,-0.885456026,0.464723172,0,14.2811,18.6763,33.6947,14.8538,49.0628,70.4772,18.65267143,13.37308261,23.45,24.85,24.55,24.23333333,24.71428571,0,23-10-2023
